Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10",0402,2,1uF,
"C11, C12, C17, C2, C3, C4, C5, C6, C7, C8, C9",0402,11,0.1uF,
"C13, C14",0402,2,10uF,
"C15, C16",0402,2,15pF,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
J2,PinSocket_1x03_P2.54mm_Vertical,1,Conn_01x03,
"J3, J4",PinSocket_1x20_P2.54mm_Vertical,2,Conn_01x20,
"R1, R2",0402,2,5.1K,
"R3, R5",0402,2,1K,
R4,0402,1,10K,
"R6, R7",0402,2,27,
SW1,SW_Push_SPST_NO_Alps_SKRK,1,SW_Push,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,
U3,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,23 MHz,
