Designator,Mid X,Mid Y,Rotation,Layer
C1,128.5,-91.48,90.0,bottom
C10,134.0,-91.52,90.0,bottom
C11,131.0,-103.76,270.0,bottom
C12,129.5,-91.5,90.0,bottom
C13,128.95,-80.25,225.0,bottom
C14,125.75,-79.55,45.0,bottom
C15,134.0,-103.76,90.0,bottom
C16,130.0,-104.75,90.0,bottom
C17,130.9125,-81.9,0.0,bottom
C2,128.0,-93.0,0.0,bottom
C3,133.5,-90.0,180.0,bottom
C4,127.5,-94.0,0.0,bottom
C5,126.77,-98.5,0.0,bottom
C6,137.75,-98.5,180.0,bottom
C7,133.0,-91.5,90.0,bottom
C8,132.0,-103.76,270.0,bottom
C9,137.48,-94.5,180.0,bottom
J1,130.79598,-73.60402,225.0,bottom
J2,153.2,-95.66,0.0,bottom
J3,131.09,-121.8,90.0,bottom
J4,130.93,-127.3,270.0,bottom
R1,125.4,-76.4,225.0,bottom
R2,127.6,-79.25,315.0,bottom
R3,133.0,-103.76,90.0,bottom
R4,138.8125,-81.9,180.0,bottom
R5,141.0125,-85.065,0.0,bottom
R6,131.6625,-90.5065,270.0,bottom
R7,130.4625,-90.5065,270.0,bottom
SW1,145.1125,-85.065,0.0,bottom
U1,132.2625,-97.5,90.0,bottom
U2,122.827386,-83.972614,135.0,bottom
U3,134.9125,-85.0,270.0,bottom
Y1,132.65,-106.6,180.0,bottom
